ARBITRATION 2021,,,by club,,,,"4 player victories, 5 club victories",,,,
Player ,Season,Club,Pos'n,MLS,2020 WARP,Career WARP,2020 Salary,Player Request,Club                 Offer,2021 Salary,.
"Bleier, Richard",2021,MIA,lhp,4.074,0.5,0.8,"$915,000 ",,,"$1,425,000 ",
"Cimber, Adam",2021,MIA,rhp,2.139,0.2,-0.1,"$581,500 ",,,"$925,000 ",
"Cooper, Garrett",2021,MIA,rf-1b,3.053,0.5,1.8,"$580,000 ",,,"$1,900,000 ",
"Garcia, Yimi",2021,MIA,rhp,5.149,0.5,1.9,"$1,100,000 ",,,"$1,900,000 ",
"Stanek, Ryne",2021,MIA,rhp,3.038,0.0,2.3,"$604,200 ",,non-tendered,,
"Urena, Jose",2021,MIA,rhp-s,5.040,0.0,2.3,"$3,750,000 ",,non-tendered,,
"Arcia, Orlando",2021,MIL,ss,4.047,0.7,4.9,"$2,200,000 ",,,"$2,000,000 ",
"Claudio, Alex",2021,MIL,lhp,5.114,0.3,2.2,"$1,750,000 ",,non-tendered,,
"Hader, Josh",2021,MIL,lhp,3.115,0.3,6.6,"$4,100,000 ",,,"$6,675,000 ",
"Narvaez, Omar",2021,MIL,c,4.089,0.4,3.3,"$2,725,000 ",,,"$2,500,000 ",
"Peterson, Jace",2021,MIL,2b-3b,4.149,0.0,1.6,,,non-tendered,,
"Pina, Manny",2021,MIL,c,5.046,0.3,4.9,"$1,850,000 ",,,"$1,650,000 ",
"Vogelbach, Dan",2021,MIL,1b,2.138,0.8,2.6,"$580,900 ",,,"$1,400,000 ",
"Woodruff, Brandon",2021,MIL,rhp,2.161,1.9,6.2,"$633,100 ",,,"$3,275,000 ",
"Berrios, Jose O.",2021,MIN,rhp-s,4.044,0.8,6.7,"$4,025,000 ",,,"$6,100,000 ",
"Buxton, Byron",2021,MIN,cf,4.160,1.4,10.2,"$3,075,000 ",,,"$5,125,000 ",
"Duffey, Tyler",2021,MIN,rhp,4.074,0.6,2.6,"$1,200,000 ",,,"$2,200,000 ",
"Garver, Mitch",2021,MIN,c,3.045,-0.2,4.5,"$620,000 ",,,"$1,875,000 ",
"Rogers, Taylor",2021,MIN,lhp,4.145,0.3,4.3,"$4,450,000 ",,,"$6,000,000 ",
"Rosario, Eddie",2021,MIN,lf,5.120,1.4,11.3,"$7,750,000 ",,non-tendered,,
"Thielbar, Caleb",2021,MIN,lhp,2.131,0.3,-0.6,,,,"$650,000 ",
"Wisler, Matt",2021,MIN,rhp-s,4.042,0.3,0.3,"$725,000 ",,non-tendered,,
"Cessa, Luis",2021,NYA,rhp,3.131,0.3,2.3,"$895,000 ",,,"$1,050,000 ",
"Frazier, Clint",2021,NYA,of,2.133,0.8,0.9,"$588,100 ",,,"$2,100,000 ",
"Green, Chad",2021,NYA,rhp,4.050,0.7,5.9,"$1,275,000 ",,,"$2,150,000 ",
"Heller, Ben",2021,NYA,rhp,3.021,0.0,0.1,"$575,150 ",,,"$625,000 ",
"Holder, Jonathan",2021,NYA,rhp,3.124,0.3,2.0,"$750,000 ",,non-tendered,,
