ARBITRATION 2023,,,by club,,,,"6 player victories, 13 club victories",,,   ,
Player ,Season,Club,Pos'n,MLS,2022 WARP,Career WARP,2022 Salary,Player Request,Club                 Offer,2023 Salary,Estimate
"Clarke, Taylor",2023,KCA,rhp,3.120,0.8,1.8,"$975,000 ",,,"$1,150,000 ","$1,700,000"
"Garrett, Amir",2023,KCA,lhp,5.099,0.4,4.4,"$2,025,000 ",,,"$2,650,000 ","$2,725,000"
"Keller, Brad",2023,KCA,rhp,5.000,0.7,1.6,"$4,825,000 ",,,"$5,775,000 ","$6,000,000"
"Lopez, Nicky",2023,KCA,2b,3.139,0.7,5.7,"$2,550,000 ",,,"$3,700,000 ","$3,550,000"
"Mondesi, Adalberto",2023,KCA,ss,5.088,0.1,2.8,"$3,000,000 ",,,"$3,045,000 ","$3,100,000"
"O'Hearn, Ryan",2023,KCA,1b,4.002,-0.2,-0.2,"$1,300,000 ",,,"$1,400,000 ","$1,300,000"
"Singer, Brady",2023,KCA,rhp-s,2.156,2.9,5.3,"$726,250 ","$3,325,000 ","$2,950,000 ","$2,950,000 ","$3,750,000"
"Staumont, Josh",2023,KCA,rhp,3.072,0.4,1.5,"$728,000 ",,,"$1,025,000 ","$975,000"
"Almonte, Yency",2023,LAN,rhp,3.143,0.5,1.4,,,,"$1,500,000 ","$1,600,000"
"Bellinger, Cody",2023,LAN,1b-of,5.160,0.5,15.3,"$17,000,000 ",,non-tendered,,"$18,250,000"
"Buehler, Walker",2023,LAN,rhp-s,4.168,0.7,13.7,"$7,250,000 ",,,"$8,025,000 ","$8,000,000"
"Ferguson, Caleb",2023,LAN,lhp,4.088,0.3,2.3,"$762,500 ",,,"$1,100,000 ","$1,500,000"
"Gonsolin, Tony",2023,LAN,rhp-s,2.152,2.4,4.2,"$720,000 ","$3,400,000 ","$3,000,000 ",2 y/$6.65 extn,"$3,000,000"
"Graterol, Brusdar",2023,LAN,rhp,2.167,0.8,1.5,"$720,000 ",,,"$1,225,000 ","$1,200,000"
"May, Dustin",2023,LAN,rhp,3.059,0.3,2.5,"$730,000 ",,,"$1,675,000 ","$1,800,000"
"Ríos, Edwin",2023,LAN,3b,3.003,0.0,0.0,"$730,000 ",,non-tendered,,"$1,000,000"
"Phillips, Evan",2023,LAN,rhp,2.136,1.5,2.5,"$720,000 ",,,"$1,300,000 ","$1,250,000"
"Smith, Will",2023,LAN,c,3.090,4.1,10.8,"$730,000 ",,,"$5,250,000 ","$5,250,000"
"Thompson, Trayce",2023,LAN,of,3.010,0.7,1.0,,,,"$1,450,000 ","$1,400,000"
"Urias, Julio",2023,LAN,lhp-s,5.117,2.6,8.7,"$8,000,000 ",,,"$14,250,000 ","$13,000,000"
"Anderson, Brian",2023,MIA,3b,5.031,1.1,8.4,"$4,475,000 ",,non-tendered,,"$6,750,000"
"Arraez, Luis",2023,MIA,2b,3.121,3.3,8.5,"$2,125,000 ","$6,100,000 ","$5,000,000 ","$6,100,000 ","$6,000,000"
"Berti, Jon",2023,MIA,3b,3.168,1.1,3.2,"$1,200,000 ","$2,300,000 ","$1,900,000 ",1 y/$2.125+opt,"$2,450,000"
"Chargois, JT",2023,MIA,rhp,3.101,0.2,1.9,"$710,500 ",,,"$850,000 ","$1,500,000"
"Cooper, Garrett",2023,MIA,rf-1b,5.053,0.5,2.8,"$2,500,000 ",,,"$4,200,000 ","$3,250,000"
"Floro, Dylan",2023,MIA,rhp,5.053,0.6,3.4,"$3,000,000 ",,,"$3,900,000 ","$3,800,000"
"López, Pablo",2023,MIA,rhp-s,4.093,2.6,8.9,"$2,450,000 ",,,"$5,450,000 ","$5,250,000"
"Lúzardo, Jesus",2023,MIA,lhp-s,2.165,1.8,3.2,"$715,000 ","$2,450,000 ","$2,100,000 ","$2,450,000 ","$2,000,000"
"Scott, Tanner",2023,MIA,lhp,4.059,1.1,4.2,"$1,050,000 ",,,"$2,825,000 ","$2,000,000"
"Stallings, Jacob",2023,MIA,c,4.149,0.4,5.5,"$2,450,000 ",,,"$3,350,000 ","$3,750,000"
"Wendle, Joey",2023,MIA,3b-2b,5.088,0.8,7.2,"$4,550,000 ",,,"$6,000,000 ","$7,000,000"
"Adames, Willy",2023,MIL,ss,4.105,2.4,9.0,"$4,600,000 ",,,"$8,700,000 ","$9,000,000"
"Brosseau, Mike",2023,MIL,3b,3.031,0.2,0.7,"$706,300 ",,,"$1,400,000 ","$1,000,000"
"Burnes, Corbin",2023,MIL,rhp-s,4.049,5.4,14.4,"$6,500,000 ","$10,750,000 ","$10,010,000 ","$10,010,000 ","$13,100,000"
"Bush, Matt",2023,MIL,rhp,4.132,0.5,3.5,"$825,000 ",,,"$1,850,000 ","$1,800,000"
"Caratini, Victor",2023,MIL,c,5.051,1.7,3.6,"$2,000,000 ",,,"$2,800,000 ","$3,400,000"
"Gott, Trevor",2023,MIL,rhp,4.057,0.6,1.3,"$725,000 ",,non-tendered,,"$1,900,000"
"Gustave, Jandel",2023,MIL,rhp,4.027,0.3,0.7,"$700,000 ",,non-tendered,,"$975,000"
"Hiura, Keston",2023,MIL,2b,3.009,0.3,0.0,"$705,100 ",,,"$2,200,000 ","$1,400,000"
"Houser, Adrian",2023,MIL,rhp-s,4.010,-0.2,4.0,"$2,425,000 ",,,"$3,600,000 ","$2,925,000"
"Lauer, Eric",2023,MIL,lhp,4.033,0.9,4.6,"$2,425,000 ",,,"$5,075,000 ","$4,000,000"
